,City,City ID,Country,Latitude,Longitude,Date,Temperature (°F),Max Temperature (°F),Min Temperature (°F),Cloudiness,Humidity,Wind Speed
0,Butaritari,2110227,KI,3.07,172.79,1579585148,85.40600000000003,85.40600000000003,302.82,100,63,1.53
1,Semnan,116402,IR,35.57,53.4,1579585344,36.69800000000002,36.69800000000002,275.76,69,68,0.91
2,Ribeira Grande,3372707,PT,38.52,-28.7,1579585344,56.01200000000006,56.01200000000006,286.49,95,80,8.73
3,Kabalo,215668,CD,-6.05,26.92,1579585344,73.56200000000007,73.56200000000007,296.24,47,93,0.7
4,Avera,4231997,US,33.19,-82.53,1579585079,29.930000000000042,32.0,270.37,1,74,1.5
5,Kodiak,5866583,US,57.79,-152.41,1579585103,17.6,17.6,265.15,75,78,2.6
6,San Pedro del Pinatar,2511247,ES,37.84,-0.79,1579585345,47.80400000000005,48.992,280.93,40,100,5.7
7,Karratha,6620339,AU,-20.74,116.85,1579585195,86.0,86.0,303.15,0,71,7.58
8,Busselton,2075265,AU,-33.65,115.33,1579585150,76.94600000000005,84.00200000000008,295.37,74,21,10.1
9,Dubai,292223,AE,25.26,55.3,1579585264,65.04800000000003,66.2,291.15,20,72,2.1
10,Torbay,6167817,CA,47.67,-52.73,1579585085,21.29000000000002,21.991999999999997,266.48,90,92,4.6
11,Cockburn Town,3576994,TC,21.46,-71.14,1579585346,77.32400000000001,77.32400000000001,298.33,60,72,5.03
12,Esperance,2071860,AU,-33.87,121.9,1579585346,75.2,75.2,297.15,99,53,14.9
13,Uptar,2120129,RU,59.75,150.92,1579585346,-6.429999999999943,-6.429999999999943,251.8,40,73,3.37
14,Longyearbyen,2729907,SJ,78.22,15.64,1579585079,15.8,15.8,264.15,20,66,10.3
15,Alice Springs,2077895,AU,-23.7,133.88,1579585347,95.0,95.0,308.15,0,21,6.2
16,East London,1006984,ZA,-33.02,27.91,1579585347,68.0,68.0,293.15,93,77,3.1
17,Bredasdorp,1015776,ZA,-34.53,20.04,1579585166,66.2,66.2,292.15,95,82,7.2
18,George Town,1735106,MY,5.41,100.34,1579585232,89.45600000000003,89.6,304.82,20,59,2.1
19,Avarua,4035715,CK,-21.21,-159.78,1579585171,80.6,80.6,300.15,99,88,3.6
20,Norman Wells,6089245,CA,65.28,-126.83,1579585348,-21.99999999999995,-21.99999999999995,243.15,20,74,1.5
21,Sabang,1214026,ID,5.89,95.32,1579585348,82.27400000000002,82.27400000000002,301.08,71,80,8.77
22,Tarbagatay,2015545,RU,51.48,107.36,1579585348,-5.799999999999947,-5.799999999999947,252.15,82,76,1.12
23,Kavaratti,1267390,IN,10.57,72.64,1579585348,84.2,84.2,302.15,20,74,2.1
24,Cotonou,2394819,BJ,6.37,2.42,1579585349,74.858,74.858,296.96,93,87,1.53
25,Takoradze,2294915,GH,4.88,-1.76,1579585349,76.26200000000006,76.26200000000006,297.74,48,92,0.38
26,Magadan,2123628,RU,59.57,150.8,1579585082,-6.429999999999943,-6.429999999999943,251.8,40,73,3.37
